#Interaction type,Interactor A ID,Interactor A name,Interactor A taxid,Interactor B ID,Interactor B name,Interactor B taxid,Host organism taxid,Binding affinity type,Binding affinity value in molar,Binding affinity variation in molar,Interaction detection method,Source,EBI Interaction ID
association,uniprotkb:P68400,CSNK2A1,Homo sapiens (taxid:9606),uniprotkb:P14625,HSP90B1,Homo sapiens (taxid:9606),-,kd,0.0004,-,experimental interaction detection (MI:0045),pubmed:11557039,intact:EBI-7971392
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),-,kd,0.00000576,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463223
direct interaction,uniprotkb:P07948,LYN,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.000006185,0.000001078337841,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463247
direct interaction,uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.000006225,0.000001297540943,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463271
direct interaction,uniprotkb:P51451,BLK,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000724,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463295
direct interaction,uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000778,0.000002623366158,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463319
direct interaction,uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000855,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463343
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000888,0.000002374454323,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463367
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),-,kd,0.00000919,0.000003358757211,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463391
direct interaction,uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.0000092,0.000004115361467,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463415
direct interaction,uniprotkb:O14544,SOCS6,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.000009795,0.000003397648084,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463952
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P07947,YES1,Homo sapiens (taxid:9606),-,kd,0.00001494,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9463976
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00001836,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464023
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:O14796,SH2D1B,Homo sapiens (taxid:9606),-,kd,0.000015,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464000
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),-,kd,0.000000665,0.000000024748737,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464071
direct interaction,uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000039,0.000000058594653,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464047
direct interaction,uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.0000011666667,0.00000016004629,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464142
direct interaction,uniprotkb:O14796,SH2D1B,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.0000011125,0.000000039863047,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464119
direct interaction,uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000071,0.000000205060967,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464095
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P16885,PLCG2,Homo sapiens (taxid:9606),-,kd,0.000003575,0.000000137885822,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464190
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.00000347,0.00000028991378,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464166
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.000005375,0.000001396535893,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464262
direct interaction,uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.0000046,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464238
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000385,0.000000461350674,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464214
direct interaction,uniprotkb:P29353,SHC1,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000896,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464310
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P06239,LCK,Homo sapiens (taxid:9606),-,kd,0.0000078033333,0.000001150721191,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464286
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00001021,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464358
direct interaction,uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),-,kd,0.00000953,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464334
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),-,kd,0.00000144,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464440
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),-,kd,0.000012165,0.000000024748737,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464416
direct interaction,uniprotkb:Q13480,GAB1,Homo sapiens (taxid:9606),uniprotkb:P07947,YES1,Homo sapiens (taxid:9606),-,kd,0.00001109,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464392
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P16885,PLCG2,Homo sapiens (taxid:9606),-,kd,0.00000303,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464488
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000216,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464464
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),-,kd,0.00000873,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464536
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O14544,SOCS6,Homo sapiens (taxid:9606),-,kd,0.00000453,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464512
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O14796,SH2D1B,Homo sapiens (taxid:9606),-,kd,0.00001954,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464584
direct interaction,uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001611,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464560
direct interaction,uniprotkb:P78314,SH3BP2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.000003125,0.000000647002705,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464655
direct interaction,uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001045,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464631
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O14544,SOCS6,Homo sapiens (taxid:9606),-,kd,0.00000419,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464607
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00001573,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464703
direct interaction,uniprotkb:Q9NP31,SH2D2A,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001104,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464679
direct interaction,uniprotkb:Q9UQQ2,SH2B3,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000156,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464750
direct interaction,uniprotkb:O14796,SH2D1B,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.0000009475,0.000000080425302,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464727
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.00000263,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464797
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.000002165,0.00000030759145,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464773
direct interaction,uniprotkb:P06239,LCK,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000448,0.000000064291005,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464845
direct interaction,uniprotkb:Q8N5H7,SH2D3C,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000403,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464821
direct interaction,uniprotkb:P12931,SRC,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.0000055066667,0.000000701857324,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464893
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),-,kd,0.0000054633333,0.000000801736541,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464869
direct interaction,uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.000005845,0.000003143089642,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464941
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P43403,ZAP70,Homo sapiens (taxid:9606),-,kd,0.00000557,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464917
direct interaction,uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000689,0.000000304055916,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464989
direct interaction,uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.0000065866667,0.00000080653121,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9464965
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000848,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465037
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P07947,YES1,Homo sapiens (taxid:9606),-,kd,0.000007355,0.000002400627522,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465013
direct interaction,uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000978,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465085
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P09769,FGR,Homo sapiens (taxid:9606),-,kd,0.0000093,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465061
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),-,kd,0.00001665,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465133
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q63HR2,TNS2,Homo sapiens (taxid:9606),-,kd,0.00001442,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465109
direct interaction,uniprotkb:P16885,PLCG2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001847,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465157
direct interaction,uniprotkb:P29353,SHC1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.000001725,0.000000463154942,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465204
direct interaction,uniprotkb:P98077,SHC2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000164,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465181
direct interaction,uniprotkb:P06239,LCK,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000255,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465252
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),-,kd,0.000002405,0.000000116672619,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465228
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.00000285,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465300
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q8N5H7,SH2D3C,Homo sapiens (taxid:9606),-,kd,0.00000262,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465276
direct interaction,uniprotkb:Q96JZ2,HSH2D,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000367,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465348
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.0000029233333,0.000000560082666,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465324
direct interaction,uniprotkb:Q9NP31,SH2D2A,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000376,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465372
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.00000383,0.000001072074832,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465420
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),-,kd,0.00000378,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465396
direct interaction,uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.000005965,0.000002336987912,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465468
direct interaction,uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000519,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465444
direct interaction,uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.000007925,0.000004239105153,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465516
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000716,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465492
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P08631,HCK,Homo sapiens (taxid:9606),-,kd,0.0000114,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465540
direct interaction,uniprotkb:O14796,SH2D1B,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001239,0.000000954594155,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465588
direct interaction,uniprotkb:O14544,SOCS6,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001187,0.000002856711396,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465564
direct interaction,uniprotkb:P27986,PIK3R1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001424,0.000002184959954,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465611
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P42684,ABL2,Homo sapiens (taxid:9606),-,kd,0.00001477,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465659
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P29353,SHC1,Homo sapiens (taxid:9606),-,kd,0.00001437,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465635
direct interaction,uniprotkb:O00459,PIK3R2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001523,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465683
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O14508,SOCS2,Homo sapiens (taxid:9606),-,kd,0.00001692,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465707
direct interaction,uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000267,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465755
direct interaction,uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000137,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465731
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000525,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465779
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q68CZ2,TNS3,Homo sapiens (taxid:9606),-,kd,0.00000902,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465827
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q9NP31,SH2D2A,Homo sapiens (taxid:9606),-,kd,0.00000723,0.000000574543297,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465803
direct interaction,uniprotkb:Q9ULZ2,STAP1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000999,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465850
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P20936,RASA1,Homo sapiens (taxid:9606),-,kd,0.00001463,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465897
direct interaction,uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.000013875,0.000003616851186,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465873
direct interaction,uniprotkb:P16885,PLCG2,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001671,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465921
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P06239,LCK,Homo sapiens (taxid:9606),-,kd,0.0000174,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465945
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),-,kd,0.00000139,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465969
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O14796,SH2D1B,Homo sapiens (taxid:9606),-,kd,0.0000024866667,0.000000234030704,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9465993
direct interaction,uniprotkb:O14544,SOCS6,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000503,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466040
direct interaction,uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000302,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466016
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),-,kd,0.0000051066667,0.000000778176882,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466064
direct interaction,uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000792,0.000001047637554,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466112
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:O14544,SOCS6,Homo sapiens (taxid:9606),-,kd,0.00000689,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466088
direct interaction,uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000868,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466136
direct interaction,uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00001267,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466160
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q96JZ2,HSH2D,Homo sapiens (taxid:9606),-,kd,0.00000118,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466184
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:P19174,PLCG1,Homo sapiens (taxid:9606),-,kd,0.00000133,0.00000002081666,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466208
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q06124,PTPN11,Homo sapiens (taxid:9606),-,kd,0.000001395,0.000000286378246,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466232
direct interaction,uniprotkb:O60880,SH2D1A,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000181,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466256
direct interaction,uniprotkb:P07948,LYN,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000191,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466280
direct interaction,uniprotkb:P16333,NCK1,Homo sapiens (taxid:9606),uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),-,kd,0.00000199,-,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466304
direct interaction,uniprotkb:P10721,KIT,Homo sapiens (taxid:9606),uniprotkb:Q92569,PIK3R3,Homo sapiens (taxid:9606),-,kd,0.00000204,0.000000077781746,fluorescence polarization spectroscopy (MI:0053),pubmed:24728074,intact:EBI-9466352
